,cleantweet,tweetid,len,meaning,lemmatized,pos
67,new climate change film streaming beforetheflood,7.93159E+17,48,News,new climate change film streaming beforetheflood,"[('new', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('film', 'NN'), ('streaming', 'VBG'), ('beforetheflood', 'NN')]"
68,huge climate change victory happened rwanda people noticed,7.93159E+17,58,Positive,huge climate change victory happened rwanda people noticed,"[('huge', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('victory', 'NN'), ('happened', 'VBD'), ('rwanda', 'JJ'), ('people', 'NNS'), ('noticed', 'VBD')]"
69,page asked dad watch documentary came climate change legit turned trump vs hillary thing,7.93159E+17,88,Neutral,page asked dad watch documentary came climate change legit turned trump vs hillary thing,"[('page', 'NN'), ('asked', 'VBD'), ('dad', 'JJ'), ('watch', 'NN'), ('documentary', 'NN'), ('came', 'VBD'), ('climate', 'JJ'), ('change', 'NN'), ('legit', 'NN'), ('turned', 'VBD'), ('trump', 'JJ'), ('vs', 'JJ'), ('hillary', 'JJ'), ('thing', 'NN')]"
70,everyone glad 80 degree weather october stop thinking global warming,7.9316E+17,68,Positive,everyone glad 80 degree weather october stop thinking global warming,"[('everyone', 'NN'), ('glad', 'JJ'), ('80', 'CD'), ('degree', 'NN'), ('weather', 'NN'), ('october', 'NNP'), ('stop', 'NN'), ('thinking', 'VBG'), ('global', 'JJ'), ('warming', 'NN')]"
71,leo come leo im busy friend said global warming real leo,7.9316E+17,56,Neutral,leo come leo im busy friend said global warming real leo,"[('leo', 'JJ'), ('come', 'VB'), ('leo', 'JJ'), ('im', 'JJ'), ('busy', 'JJ'), ('friend', 'NN'), ('said', 'VBD'), ('global', 'JJ'), ('warming', 'NN'), ('real', 'JJ'), ('leo', 'NN')]"
72,al gore creator internet global warming,7.9316E+17,39,Neutral,al gore creator internet global warming,"[('al', 'NN'), ('gore', 'NN'), ('creator', 'NN'), ('internet', 'NN'), ('global', 'JJ'), ('warming', 'NN')]"
73,prepping talk pasignyc thinking nodapl climate change water abou,7.9316E+17,64,Positive,prepping talk pasignyc thinking nodapl climate change water abou,"[('prepping', 'VBG'), ('talk', 'NN'), ('pasignyc', 'IN'), ('thinking', 'VBG'), ('nodapl', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('water', 'NN'), ('abou', 'NN')]"
74,important article need 2 make nodapl climate change thus erasing struggle native rights,7.93161E+17,87,Positive,important article need 2 make nodapl climate change thus erasing struggle native rights,"[('important', 'JJ'), ('article', 'NN'), ('need', 'VBP'), ('2', 'CD'), ('make', 'VBP'), ('nodapl', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('thus', 'RB'), ('erasing', 'VBG'), ('struggle', 'NNS'), ('native', 'JJ'), ('rights', 'NNS')]"
75,trend toward increased acceptance climate change acceptance human caused flat science2016electi,7.93162E+17,95,Neutral,trend toward increased acceptance climate change acceptance human caused flat science2016electi,"[('trend', 'NN'), ('toward', 'IN'), ('increased', 'VBN'), ('acceptance', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('acceptance', 'NN'), ('human', 'NN'), ('caused', 'VBD'), ('flat', 'JJ'), ('science2016electi', 'NN')]"
76,watch beforetheflood right travels world tackle climate change htt,7.93163E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
77,watch periscope global warming winston neace,7.93164E+17,44,Neutral,watch periscope global warming winston neace,"[('watch', 'NN'), ('periscope', 'NN'), ('global', 'JJ'), ('warming', 'VBG'), ('winston', 'NN'), ('neace', 'NN')]"
78,yes wrote 3rd yr comp sci ethics part told climate change denying lecturer wrong amp marked,7.93164E+17,91,Positive,yes wrote 3rd yr comp sci ethics part told climate change denying lecturer wrong amp marked,"[('yes', 'RB'), ('wrote', 'VBD'), ('3rd', 'CD'), ('yr', 'NN'), ('comp', 'NN'), ('sci', 'NN'), ('ethics', 'NNS'), ('part', 'NN'), ('told', 'VBD'), ('climate', 'NN'), ('change', 'NN'), ('denying', 'VBG'), ('lecturer', 'NN'), ('wrong', 'JJ'), ('amp', 'NN'), ('marked', 'VBD')]"
79,national geographic climate change doc dicaprio youtube,7.93165E+17,55,Neutral,national geographic climate change doc dicaprio youtube,"[('national', 'JJ'), ('geographic', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('doc', 'NN'), ('dicaprio', 'NN'), ('youtube', 'NN')]"
80,get climate change political issue clearly scientific fact,7.93166E+17,58,Positive,get climate change political issue clearly scientific fact,"[('get', 'VB'), ('climate', 'JJ'), ('change', 'NN'), ('political', 'JJ'), ('issue', 'NN'), ('clearly', 'RB'), ('scientific', 'JJ'), ('fact', 'NN')]"
81,ghosts cool environment could use combat global warming funny,7.93166E+17,61,Neutral,ghosts cool environment could use combat global warming funny,"[('ghosts', 'NNS'), ('cool', 'VBP'), ('environment', 'NN'), ('could', 'MD'), ('use', 'VB'), ('combat', 'NN'), ('global', 'JJ'), ('warming', 'NN'), ('funny', 'NN')]"
82,mycroft like believing global warming opposing war make world peaceful place,7.93166E+17,76,Positive,mycroft like believing global warming opposing war make world peaceful place,"[('mycroft', 'NNS'), ('like', 'IN'), ('believing', 'VBG'), ('global', 'JJ'), ('warming', 'VBG'), ('opposing', 'VBG'), ('war', 'NN'), ('make', 'VBP'), ('world', 'NN'), ('peaceful', 'JJ'), ('place', 'NN')]"
83,watch beforetheflood right travels world tackle climate change htt,7.93166E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
84,watch beforetheflood right travels world tackle climate change htt,7.93166E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
85,millennials get vote doomed future lets fixing climate change womens rig,7.93167E+17,72,Positive,millennials get vote doomed future lets fixing climate change womens rig,"[('millennials', 'NNS'), ('get', 'VBP'), ('vote', 'NN'), ('doomed', 'VBN'), ('future', 'JJ'), ('lets', 'NNS'), ('fixing', 'VBG'), ('climate', 'NN'), ('change', 'NN'), ('womens', 'VBZ'), ('rig', 'NN')]"
86,leo come leo im busy friend said global warming real leo,7.93168E+17,56,Neutral,leo come leo im busy friend said global warming real leo,"[('leo', 'JJ'), ('come', 'VB'), ('leo', 'JJ'), ('im', 'JJ'), ('busy', 'JJ'), ('friend', 'NN'), ('said', 'VBD'), ('global', 'JJ'), ('warming', 'NN'), ('real', 'JJ'), ('leo', 'NN')]"
87,al might related wright brothers think solved global warming sent emails everyone,7.93168E+17,81,Neutral,al might related wright brothers think solved global warming sent emails everyone,"[('al', 'NN'), ('might', 'MD'), ('related', 'VB'), ('wright', 'JJ'), ('brothers', 'NNS'), ('think', 'VBP'), ('solved', 'VBN'), ('global', 'JJ'), ('warming', 'NN'), ('sent', 'VBD'), ('emails', 'NNS'), ('everyone', 'NN')]"
88,9 ways global warming affecting daily life lakes disappearing drinking water supply risk via,7.93169E+17,92,Positive,9 ways global warming affecting daily life lakes disappearing drinking water supply risk via,"[('9', 'CD'), ('ways', 'NNS'), ('global', 'JJ'), ('warming', 'VBG'), ('affecting', 'VBG'), ('daily', 'JJ'), ('life', 'NN'), ('lakes', 'NNS'), ('disappearing', 'VBG'), ('drinking', 'NN'), ('water', 'NN'), ('supply', 'NN'), ('risk', 'NN'), ('via', 'IN')]"
89,weather mediterranean become desert unless global warming limited 1 5 c study warns inhabitat forecast,7.93169E+17,102,News,weather mediterranean become desert unless global warming limited 1 5 c study warns inhabitat forecast,"[('weather', 'NN'), ('mediterranean', 'VBZ'), ('become', 'VBN'), ('desert', 'JJ'), ('unless', 'IN'), ('global', 'JJ'), ('warming', 'NN'), ('limited', 'VBD'), ('1', 'CD'), ('5', 'CD'), ('c', 'NN'), ('study', 'NN'), ('warns', 'VBZ'), ('inhabitat', 'JJ'), ('forecast', 'NN')]"
90,weather mediterranean become desert unless global warming limited 1 5 c study warns inhabitat forecast,7.93169E+17,102,News,weather mediterranean become desert unless global warming limited 1 5 c study warns inhabitat forecast,"[('weather', 'NN'), ('mediterranean', 'VBZ'), ('become', 'VBN'), ('desert', 'JJ'), ('unless', 'IN'), ('global', 'JJ'), ('warming', 'NN'), ('limited', 'VBD'), ('1', 'CD'), ('5', 'CD'), ('c', 'NN'), ('study', 'NN'), ('warns', 'VBZ'), ('inhabitat', 'JJ'), ('forecast', 'NN')]"
91,watch beforetheflood right travels world tackle climate change htt,7.93169E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
92,term global warming controversial among conservatives climate change liberals care sciwri16,7.9317E+17,91,Neutral,term global warming controversial among conservatives climate change liberals care sciwri16,"[('term', 'NN'), ('global', 'JJ'), ('warming', 'VBG'), ('controversial', 'JJ'), ('among', 'IN'), ('conservatives', 'NNS'), ('climate', 'VBP'), ('change', 'NN'), ('liberals', 'NNS'), ('care', 'VBP'), ('sciwri16', 'NN')]"
93,watch leonardo dicaprio climate change documentary free limited time,7.9317E+17,68,Neutral,watch leonardo dicaprio climate change documentary free limited time,"[('watch', 'NN'), ('leonardo', 'NN'), ('dicaprio', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('documentary', 'JJ'), ('free', 'JJ'), ('limited', 'VBD'), ('time', 'NN')]"
94,global warming help drive record election turnout,7.9317E+17,49,News,global warming help drive record election turnout,"[('global', 'JJ'), ('warming', 'NN'), ('help', 'NN'), ('drive', 'NN'), ('record', 'NN'), ('election', 'NN'), ('turnout', 'IN')]"
95,alberta tories losing big issue used attack notley approach climate change,7.9317E+17,74,News,alberta tories losing big issue used attack notley approach climate change,"[('alberta', 'JJ'), ('tories', 'NNS'), ('losing', 'VBG'), ('big', 'JJ'), ('issue', 'NN'), ('used', 'VBN'), ('attack', 'NN'), ('notley', 'JJ'), ('approach', 'NN'), ('climate', 'NN'), ('change', 'NN')]"
96,madisonwalsh believe global warming come tallahassee rn,7.93171E+17,55,Positive,madisonwalsh believe global warming come tallahassee rn,"[('madisonwalsh', 'NN'), ('believe', 'VBP'), ('global', 'JJ'), ('warming', 'NN'), ('come', 'VB'), ('tallahassee', 'NN'), ('rn', 'NN')]"
97,entered alarming new era global warming via,7.93171E+17,43,Positive,entered alarming new era global warming via,"[('entered', 'VBN'), ('alarming', 'VBG'), ('new', 'JJ'), ('era', 'NN'), ('global', 'JJ'), ('warming', 'NN'), ('via', 'IN')]"
98,global warming real hell al gore told us leo dicaprio keep tryna tell us 82 degrees halloween sumn aint r,7.93172E+17,105,Positive,global warming real hell al gore told us leo dicaprio keep tryna tell us 82 degrees halloween sumn aint r,"[('global', 'JJ'), ('warming', 'VBG'), ('real', 'JJ'), ('hell', 'NN'), ('al', 'NN'), ('gore', 'NN'), ('told', 'VBD'), ('us', 'PRP'), ('leo', 'VB'), ('dicaprio', 'NN'), ('keep', 'VB'), ('tryna', 'NN'), ('tell', 'VB'), ('us', 'PRP'), ('82', 'CD'), ('degrees', 'NNS'), ('halloween', 'JJ'), ('sumn', 'NN'), ('aint', 'NN'), ('r', 'NN')]"
99,listen 58 years climate change one minute pbs newshour,7.93172E+17,54,News,listen 58 years climate change one minute pbs newshour,"[('listen', 'RB'), ('58', 'CD'), ('years', 'NNS'), ('climate', 'VBP'), ('change', 'NN'), ('one', 'CD'), ('minute', 'NN'), ('pbs', 'VBZ'), ('newshour', 'NNS')]"
100,climate change expect asteroids become frequent powerful,7.93172E+17,56,Neutral,climate change expect asteroids become frequent powerful,"[('climate', 'NN'), ('change', 'NN'), ('expect', 'VBP'), ('asteroids', 'VBZ'), ('become', 'JJ'), ('frequent', 'JJ'), ('powerful', 'JJ')]"
101,watch beforetheflood right travels world tackle climate change htt,7.93173E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
102,pantaloon swear 80 degrees christmas personally defeat global warming revenge dish best served cold,7.93174E+17,99,Positive,pantaloon swear 80 degrees christmas personally defeat global warming revenge dish best served cold,"[('pantaloon', 'NN'), ('swear', 'VBP'), ('80', 'CD'), ('degrees', 'NNS'), ('christmas', 'VBP'), ('personally', 'RB'), ('defeat', 'JJ'), ('global', 'JJ'), ('warming', 'NN'), ('revenge', 'NN'), ('dish', 'NN'), ('best', 'JJS'), ('served', 'VBD'), ('cold', 'NN')]"
103,watch beforetheflood right travels world tackle climate change htt,7.93175E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
104,creating new think tank climate change would join post tweet also,7.93175E+17,65,Positive,creating new think tank climate change would join post tweet also,"[('creating', 'VBG'), ('new', 'JJ'), ('think', 'NN'), ('tank', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('would', 'MD'), ('join', 'VB'), ('post', 'NN'), ('tweet', 'NN'), ('also', 'RB')]"
105,recent pattern cloud cover may masked global warming,7.93176E+17,52,News,recent pattern cloud cover may masked global warming,"[('recent', 'JJ'), ('pattern', 'NN'), ('cloud', 'VBP'), ('cover', 'NN'), ('may', 'MD'), ('masked', 'VB'), ('global', 'JJ'), ('warming', 'NN')]"
106,satellites help scientists see forests trees amid climate change via com,7.93176E+17,72,News,satellites help scientists see forests trees amid climate change via com,"[('satellites', 'NNS'), ('help', 'VBP'), ('scientists', 'NNS'), ('see', 'VBP'), ('forests', 'NNS'), ('trees', 'NNS'), ('amid', 'IN'), ('climate', 'JJ'), ('change', 'NN'), ('via', 'IN'), ('com', 'NN')]"
107,watch beforetheflood right travels world tackle climate change htt,7.93176E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
108,listen 58 years climate change one minute via,7.93176E+17,45,Positive,listen 58 years climate change one minute via,"[('listen', 'RB'), ('58', 'CD'), ('years', 'NNS'), ('climate', 'VBP'), ('change', 'NN'), ('one', 'CD'), ('minute', 'NN'), ('via', 'IN')]"
109,new climate change film streaming beforetheflood,7.93177E+17,48,News,new climate change film streaming beforetheflood,"[('new', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('film', 'NN'), ('streaming', 'VBG'), ('beforetheflood', 'NN')]"
110,satellites help scientists see forests trees amid climate change,7.93178E+17,64,News,satellites help scientists see forests trees amid climate change,"[('satellites', 'NNS'), ('help', 'VBP'), ('scientists', 'NNS'), ('see', 'VBP'), ('forests', 'NNS'), ('trees', 'NNS'), ('amid', 'IN'), ('climate', 'NN'), ('change', 'NN')]"
111,global warming real hell al gore told us leo dicaprio keep tryna tell us 82 degrees halloween sumn aint r,7.93178E+17,105,Positive,global warming real hell al gore told us leo dicaprio keep tryna tell us 82 degrees halloween sumn aint r,"[('global', 'JJ'), ('warming', 'VBG'), ('real', 'JJ'), ('hell', 'NN'), ('al', 'NN'), ('gore', 'NN'), ('told', 'VBD'), ('us', 'PRP'), ('leo', 'VB'), ('dicaprio', 'NN'), ('keep', 'VB'), ('tryna', 'NN'), ('tell', 'VB'), ('us', 'PRP'), ('82', 'CD'), ('degrees', 'NNS'), ('halloween', 'JJ'), ('sumn', 'NN'), ('aint', 'NN'), ('r', 'NN')]"
112,watch beforetheflood right travels world tackle climate change htt,7.93178E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
113,halloween gets lot scarier consider bc global warming 80 degrees october amp destroy,7.93179E+17,84,Positive,halloween gets lot scarier consider bc global warming 80 degrees october amp destroy,"[('halloween', 'JJ'), ('gets', 'VBZ'), ('lot', 'NN'), ('scarier', 'JJR'), ('consider', 'JJR'), ('bc', 'NN'), ('global', 'JJ'), ('warming', 'VBG'), ('80', 'CD'), ('degrees', 'NNS'), ('october', 'VBP'), ('amp', 'JJ'), ('destroy', 'NN')]"
114,exactly fixing economy amp addressing climate change w emergency greennewdeal dire,7.93179E+17,82,Positive,exactly fixing economy amp addressing climate change w emergency greennewdeal dire,"[('exactly', 'RB'), ('fixing', 'VBG'), ('economy', 'NN'), ('amp', 'JJ'), ('addressing', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('w', 'NN'), ('emergency', 'NN'), ('greennewdeal', 'NN'), ('dire', 'NN')]"
115,halloween gets lot scarier consider bc global warming 80 degrees october amp destroy,7.93179E+17,84,Positive,halloween gets lot scarier consider bc global warming 80 degrees october amp destroy,"[('halloween', 'JJ'), ('gets', 'VBZ'), ('lot', 'NN'), ('scarier', 'JJR'), ('consider', 'JJR'), ('bc', 'NN'), ('global', 'JJ'), ('warming', 'VBG'), ('80', 'CD'), ('degrees', 'NNS'), ('october', 'VBP'), ('amp', 'JJ'), ('destroy', 'NN')]"
116,single question climate change debates boggles mind debate q,7.93179E+17,60,Positive,single question climate change debates boggles mind debate q,"[('single', 'JJ'), ('question', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('debates', 'VBZ'), ('boggles', 'NNS'), ('mind', 'VB'), ('debate', 'NN'), ('q', 'NN')]"
117,really want nation leader promotes bigotry racism anti women anti journalism anti climate change,7.9318E+17,96,Positive,really want nation leader promotes bigotry racism anti women anti journalism anti climate change,"[('really', 'RB'), ('want', 'JJ'), ('nation', 'NN'), ('leader', 'NN'), ('promotes', 'VBZ'), ('bigotry', 'VBP'), ('racism', 'NN'), ('anti', 'JJ'), ('women', 'NNS'), ('anti', 'VBP'), ('journalism', 'NN'), ('anti', 'JJ'), ('climate', 'NN'), ('change', 'NN')]"
118,halloween ok really wanna get scared watch new climate change doc,7.9318E+17,65,Positive,halloween ok really wanna get scared watch new climate change doc,"[('halloween', 'JJ'), ('ok', 'MD'), ('really', 'RB'), ('wan', 'VB'), ('na', 'TO'), ('get', 'VB'), ('scared', 'JJ'), ('watch', 'VB'), ('new', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('doc', 'NN')]"
119,watch beforetheflood right travels world tackle climate change htt,7.93181E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
120,100 agree climate change choices election look 100 steps backwards 50 steps forward zero,7.93182E+17,88,Positive,100 agree climate change choices election look 100 steps backwards 50 steps forward zero,"[('100', 'CD'), ('agree', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('choices', 'NNS'), ('election', 'NN'), ('look', 'VBP'), ('100', 'CD'), ('steps', 'NNS'), ('backwards', 'NNS'), ('50', 'CD'), ('steps', 'NNS'), ('forward', 'RB'), ('zero', 'VBP')]"
121,halloween ok really wanna get scared watch new climate change doc,7.93182E+17,65,Positive,halloween ok really wanna get scared watch new climate change doc,"[('halloween', 'JJ'), ('ok', 'MD'), ('really', 'RB'), ('wan', 'VB'), ('na', 'TO'), ('get', 'VB'), ('scared', 'JJ'), ('watch', 'VB'), ('new', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('doc', 'NN')]"
122,75 degrees stl last day october global warming hoax,7.93194E+17,51,Neutral,75 degrees stl last day october global warming hoax,"[('75', 'CD'), ('degrees', 'NNS'), ('stl', 'JJ'), ('last', 'JJ'), ('day', 'NN'), ('october', 'VBD'), ('global', 'JJ'), ('warming', 'NN'), ('hoax', 'NN')]"
123,still believe global warming smh,7.93195E+17,32,Positive,still believe global warming smh,"[('still', 'RB'), ('believe', 'VB'), ('global', 'JJ'), ('warming', 'NN'), ('smh', 'NN')]"
124,everyone must watch beforetheflood great documentary produced amp team showing effects climate change eye opening,7.93195E+17,113,Positive,everyone must watch beforetheflood great documentary produced amp team showing effects climate change eye opening,"[('everyone', 'NN'), ('must', 'MD'), ('watch', 'VB'), ('beforetheflood', 'NN'), ('great', 'JJ'), ('documentary', 'NN'), ('produced', 'VBD'), ('amp', 'JJ'), ('team', 'NN'), ('showing', 'VBG'), ('effects', 'NNS'), ('climate', 'JJ'), ('change', 'NN'), ('eye', 'NN'), ('opening', 'NN')]"
125,understand climate change natural necessarily caused humans snowed miami atlantic froze,7.93195E+17,87,Negative,understand climate change natural necessarily caused humans snowed miami atlantic froze,"[('understand', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('natural', 'JJ'), ('necessarily', 'RB'), ('caused', 'VBD'), ('humans', 'NNS'), ('snowed', 'VBD'), ('miami', 'JJ'), ('atlantic', 'JJ'), ('froze', 'NN')]"
126,recent pattern cloud cover may masked global warming,7.93196E+17,52,News,recent pattern cloud cover may masked global warming,"[('recent', 'JJ'), ('pattern', 'NN'), ('cloud', 'VBP'), ('cover', 'NN'), ('may', 'MD'), ('masked', 'VB'), ('global', 'JJ'), ('warming', 'NN')]"
127,google odd know manipulate search results woke climate change documentary loaded youtube 1 2,7.93196E+17,92,Neutral,google odd know manipulate search results woke climate change documentary loaded youtube 1 2,"[('google', 'NN'), ('odd', 'NN'), ('know', 'VBP'), ('manipulate', 'JJ'), ('search', 'NN'), ('results', 'NNS'), ('woke', 'VBD'), ('climate', 'JJ'), ('change', 'NN'), ('documentary', 'NN'), ('loaded', 'VBD'), ('youtube', 'RB'), ('1', 'CD'), ('2', 'CD')]"
128,human cost climate change high need get fossil fuels renewable energy 2030 ho,7.93197E+17,77,Positive,human cost climate change high need get fossil fuels renewable energy 2030 ho,"[('human', 'JJ'), ('cost', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('high', 'JJ'), ('need', 'NN'), ('get', 'VBP'), ('fossil', 'JJ'), ('fuels', 'NNS'), ('renewable', 'JJ'), ('energy', 'NN'), ('2030', 'CD'), ('ho', 'NN')]"
129,4 days ambitious climate change agreement history enters force read parisagreement,7.93197E+17,82,Neutral,4 days ambitious climate change agreement history enters force read parisagreement,"[('4', 'CD'), ('days', 'NNS'), ('ambitious', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('agreement', 'NN'), ('history', 'NN'), ('enters', 'NNS'), ('force', 'VBP'), ('read', 'JJ'), ('parisagreement', 'NN')]"
130,18 last day fucking october feels like fucking spring smh shout fucking global warming one time,7.93197E+17,95,Positive,18 last day fucking october feels like fucking spring smh shout fucking global warming one time,"[('18', 'CD'), ('last', 'JJ'), ('day', 'NN'), ('fucking', 'VBG'), ('october', 'JJ'), ('feels', 'NNS'), ('like', 'IN'), ('fucking', 'VBG'), ('spring', 'NN'), ('smh', 'NN'), ('shout', 'NN'), ('fucking', 'VBG'), ('global', 'JJ'), ('warming', 'VBG'), ('one', 'CD'), ('time', 'NN')]"
131,niggas asked inspiration l said global warming,7.93198E+17,46,Neutral,niggas asked inspiration l said global warming,"[('niggas', 'NN'), ('asked', 'VBD'), ('inspiration', 'NN'), ('l', 'NN'), ('said', 'VBD'), ('global', 'JJ'), ('warming', 'NN')]"
