,cleantweet,tweetid,len,meaning,lemmatized,pos
132,watch beforetheflood right travels world tackle climate change htt,7.93198E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
133,ask inspiration tell em global warming cozy,7.93199E+17,43,Neutral,ask inspiration tell em global warming cozy,"[('ask', 'JJ'), ('inspiration', 'NN'), ('tell', 'NN'), ('em', 'VBZ'), ('global', 'JJ'), ('warming', 'NN'), ('cozy', 'NN')]"
134,guilbeault canada ready climate change report warns,7.932E+17,51,News,guilbeault canada ready climate change report warns,"[('guilbeault', 'NN'), ('canada', 'NNS'), ('ready', 'JJ'), ('climate', 'VBP'), ('change', 'JJ'), ('report', 'NN'), ('warns', 'NNS')]"
135,probably scariest thing watch halloween leonardo di caprio climate change documentary,7.932E+17,85,Positive,probably scariest thing watch halloween leonardo di caprio climate change documentary,"[('probably', 'RB'), ('scariest', 'JJS'), ('thing', 'NN'), ('watch', 'NN'), ('halloween', 'NN'), ('leonardo', 'NN'), ('di', 'NN'), ('caprio', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('documentary', 'NN')]"
136,watch beforetheflood right travels world tackle climate change htt,7.932E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
137,one easiest ways help combat climate change daily life stop eating beef,7.932E+17,71,Positive,one easiest ways help combat climate change daily life stop eating beef,"[('one', 'CD'), ('easiest', 'JJS'), ('ways', 'NNS'), ('help', 'VBP'), ('combat', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('daily', 'JJ'), ('life', 'NN'), ('stop', 'NN'), ('eating', 'NN'), ('beef', 'NN')]"
138,halloween gets lot scarier consider bc global warming 80 degrees october amp destroy,7.93202E+17,84,Positive,halloween gets lot scarier consider bc global warming 80 degrees october amp destroy,"[('halloween', 'JJ'), ('gets', 'VBZ'), ('lot', 'NN'), ('scarier', 'JJR'), ('consider', 'JJR'), ('bc', 'NN'), ('global', 'JJ'), ('warming', 'VBG'), ('80', 'CD'), ('degrees', 'NNS'), ('october', 'VBP'), ('amp', 'JJ'), ('destroy', 'NN')]"
139,main emitters greenhouse gas must help vulnerable countries like madagascar avoid worst effects climate change htt,7.93203E+17,114,Positive,main emitters greenhouse gas must help vulnerable countries like madagascar avoid worst effects climate change htt,"[('main', 'JJ'), ('emitters', 'NNS'), ('greenhouse', 'VBP'), ('gas', 'NN'), ('must', 'MD'), ('help', 'VB'), ('vulnerable', 'JJ'), ('countries', 'NNS'), ('like', 'IN'), ('madagascar', 'NN'), ('avoid', 'VBP'), ('worst', 'JJS'), ('effects', 'NNS'), ('climate', 'VBP'), ('change', 'NN'), ('htt', 'NN')]"
140,8 disgusting side effects climate change,7.93204E+17,40,Positive,8 disgusting side effects climate change,"[('8', 'CD'), ('disgusting', 'JJ'), ('side', 'NN'), ('effects', 'NNS'), ('climate', 'VBP'), ('change', 'NN')]"
141,one easiest ways help combat climate change daily life stop eating beef,7.93204E+17,71,Positive,one easiest ways help combat climate change daily life stop eating beef,"[('one', 'CD'), ('easiest', 'JJS'), ('ways', 'NNS'), ('help', 'VBP'), ('combat', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('daily', 'JJ'), ('life', 'NN'), ('stop', 'NN'), ('eating', 'NN'), ('beef', 'NN')]"
142,global warming real man,7.93204E+17,23,Positive,global warming real man,"[('global', 'JJ'), ('warming', 'VBG'), ('real', 'JJ'), ('man', 'NN')]"
143,recent pattern cloud cover may masked global warming ars technica,7.93205E+17,65,News,recent pattern cloud cover may masked global warming ars technica,"[('recent', 'JJ'), ('pattern', 'NN'), ('cloud', 'VBP'), ('cover', 'NN'), ('may', 'MD'), ('masked', 'VB'), ('global', 'JJ'), ('warming', 'NN'), ('ars', 'NNS'), ('technica', 'VBP')]"
144,watch beforetheflood right travels world tackle climate change htt,7.93206E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
145,dakota access pipeline would huge blow fight climate change nodapl,7.93207E+17,66,Positive,dakota access pipeline would huge blow fight climate change nodapl,"[('dakota', 'JJ'), ('access', 'NN'), ('pipeline', 'NN'), ('would', 'MD'), ('huge', 'JJ'), ('blow', 'VB'), ('fight', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('nodapl', 'NN')]"
146,watch beforetheflood right travels world tackle climate change htt,7.93207E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
147,watching docu funny talk something climate change yet nothing dapl nodapl climateaction,7.93208E+17,87,Positive,watching docu funny talk something climate change yet nothing dapl nodapl climateaction,"[('watching', 'VBG'), ('docu', 'NN'), ('funny', 'JJ'), ('talk', 'NN'), ('something', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('yet', 'RB'), ('nothing', 'NN'), ('dapl', 'NN'), ('nodapl', 'NN'), ('climateaction', 'NN')]"
148,celeb packed years living dangerously wants make climate change voting issue via,7.93209E+17,80,News,celeb packed years living dangerously wants make climate change voting issue via,"[('celeb', 'NN'), ('packed', 'VBD'), ('years', 'NNS'), ('living', 'VBG'), ('dangerously', 'RB'), ('wants', 'VBZ'), ('make', 'VB'), ('climate', 'JJ'), ('change', 'NN'), ('voting', 'VBG'), ('issue', 'NN'), ('via', 'IN')]"
149,using palaeoecological data increases magnitude predicted plant species response climate change,7.93209E+17,95,Positive,using palaeoecological data increases magnitude predicted plant species response climate change,"[('using', 'VBG'), ('palaeoecological', 'JJ'), ('data', 'NN'), ('increases', 'NNS'), ('magnitude', 'VBP'), ('predicted', 'VBN'), ('plant', 'NN'), ('species', 'NNS'), ('response', 'NN'), ('climate', 'NN'), ('change', 'NN')]"
150,watch beforetheflood right travels world tackle climate change htt,7.93209E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
151,4 days ambitious climate change agreement history enters force read,7.9321E+17,67,Neutral,4 days ambitious climate change agreement history enters force read,"[('4', 'CD'), ('days', 'NNS'), ('ambitious', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('agreement', 'NN'), ('history', 'NN'), ('enters', 'NNS'), ('force', 'VBP'), ('read', 'VB')]"
152,1 benefits global warming amp international terrorism people holidaying england ill drink,7.93211E+17,89,Neutral,1 benefits global warming amp international terrorism people holidaying england ill drink,"[('1', 'CD'), ('benefits', 'NNS'), ('global', 'JJ'), ('warming', 'VBG'), ('amp', 'JJ'), ('international', 'JJ'), ('terrorism', 'NN'), ('people', 'NNS'), ('holidaying', 'VBG'), ('england', 'NN'), ('ill', 'NN'), ('drink', 'VB')]"
153,watch beforetheflood right travels world tackle climate change htt,7.93211E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
154,wiese hot headed vindictive pro use nukes thinks climate change hoax,7.93211E+17,68,Positive,wiese hot headed vindictive pro use nukes thinks climate change hoax,"[('wiese', 'JJ'), ('hot', 'NNS'), ('headed', 'VBD'), ('vindictive', 'JJ'), ('pro', 'JJ'), ('use', 'NN'), ('nukes', 'NNS'), ('thinks', 'NNS'), ('climate', 'VBP'), ('change', 'NN'), ('hoax', 'NN')]"
155,thinking stop climate change,7.93211E+17,28,Positive,thinking stop climate change,"[('thinking', 'VBG'), ('stop', 'JJ'), ('climate', 'NN'), ('change', 'NN')]"
156,trump vows cancel us contribution un climate change program spend clean water clean air,7.93211E+17,87,Neutral,trump vows cancel us contribution un climate change program spend clean water clean air,"[('trump', 'NN'), ('vows', 'NNS'), ('cancel', 'VBP'), ('us', 'PRP'), ('contribution', 'NN'), ('un', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('program', 'NN'), ('spend', 'VBP'), ('clean', 'JJ'), ('water', 'NN'), ('clean', 'JJ'), ('air', 'NN')]"
157,want fight climate change must fight stoptpp says us,7.93211E+17,52,Positive,want fight climate change must fight stoptpp says us,"[('want', 'JJ'), ('fight', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('must', 'MD'), ('fight', 'VB'), ('stoptpp', 'NN'), ('says', 'VBZ'), ('us', 'PRP')]"
158,beforetheflood taught climate change entire formal education insightful bold,7.93212E+17,76,Positive,beforetheflood taught climate change entire formal education insightful bold,"[('beforetheflood', 'NN'), ('taught', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('entire', 'JJ'), ('formal', 'JJ'), ('education', 'NN'), ('insightful', 'JJ'), ('bold', 'NN')]"
159,watch beforetheflood right travels world tackle climate change htt,7.93212E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
160,im constantly verge climate change rampage killing eah people wake,7.93213E+17,66,Positive,im constantly verge climate change rampage killing eah people wake,"[('im', 'NN'), ('constantly', 'RB'), ('verge', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('rampage', 'NN'), ('killing', 'VBG'), ('eah', 'JJ'), ('people', 'NNS'), ('wake', 'VBP')]"
161,12 globalgoals directly linked climate change parisagreement crucial achieve,7.93213E+17,76,Positive,12 globalgoals directly linked climate change parisagreement crucial achieve,"[('12', 'CD'), ('globalgoals', 'NNS'), ('directly', 'RB'), ('linked', 'VBN'), ('climate', 'NN'), ('change', 'NN'), ('parisagreement', 'NN'), ('crucial', 'JJ'), ('achieve', 'NN')]"
162,trump wins election amp catalyst climate change wash cush jobs accountable nopension,7.93214E+17,84,Neutral,trump wins election amp catalyst climate change wash cush jobs accountable nopension,"[('trump', 'NN'), ('wins', 'VBZ'), ('election', 'NN'), ('amp', 'NN'), ('catalyst', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('wash', 'VBP'), ('cush', 'NN'), ('jobs', 'NNS'), ('accountable', 'JJ'), ('nopension', 'NN')]"
163,happy want see something truly scary amp made great documentary global warming http,7.93215E+17,83,Positive,happy want see something truly scary amp made great documentary global warming http,"[('happy', 'JJ'), ('want', 'VBP'), ('see', 'VB'), ('something', 'NN'), ('truly', 'RB'), ('scary', 'JJ'), ('amp', 'NN'), ('made', 'VBD'), ('great', 'JJ'), ('documentary', 'JJ'), ('global', 'JJ'), ('warming', 'NN'), ('http', 'NN')]"
164,uod indian farmers fight climate change using trees weapon agroforestry gaining,7.93215E+17,79,News,uod indian farmers fight climate change using trees weapon agroforestry gaining,"[('uod', 'JJ'), ('indian', 'JJ'), ('farmers', 'NNS'), ('fight', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('using', 'VBG'), ('trees', 'NNS'), ('weapon', 'VBP'), ('agroforestry', 'NN'), ('gaining', 'NN')]"
165,everyone needs watch incredible beforetheflood documentary produced climate change,7.93215E+17,82,Positive,everyone needs watch incredible beforetheflood documentary produced climate change,"[('everyone', 'NN'), ('needs', 'VBZ'), ('watch', 'NN'), ('incredible', 'JJ'), ('beforetheflood', 'NN'), ('documentary', 'NN'), ('produced', 'VBD'), ('climate', 'JJ'), ('change', 'NN')]"
166,cloudy feedback global warming global,7.93216E+17,37,News,cloudy feedback global warming global,"[('cloudy', 'NN'), ('feedback', 'NN'), ('global', 'JJ'), ('warming', 'NN'), ('global', 'JJ')]"
167,watch beforetheflood right travels world tackle climate change htt,7.93216E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
168,vows cancel billions climate change funds un adds environmentalist,7.93216E+17,66,Positive,vows cancel billions climate change funds un adds environmentalist,"[('vows', 'NNS'), ('cancel', 'VBP'), ('billions', 'NNS'), ('climate', 'VBP'), ('change', 'NN'), ('funds', 'NNS'), ('un', 'JJ'), ('adds', 'VBZ'), ('environmentalist', 'NN')]"
169,canada ready climate change report warns globe mail time,7.93217E+17,56,News,canada ready climate change report warns globe mail time,"[('canada', 'NNS'), ('ready', 'JJ'), ('climate', 'VBP'), ('change', 'JJ'), ('report', 'NN'), ('warns', 'VBZ'), ('globe', 'JJ'), ('mail', 'NN'), ('time', 'NN')]"
170,global climate action agenda cop22 governments alone cannot solve global warming climate change affects us,7.93218E+17,106,Positive,global climate action agenda cop22 governments alone cannot solve global warming climate change affects us,"[('global', 'JJ'), ('climate', 'NN'), ('action', 'NN'), ('agenda', 'NN'), ('cop22', 'NN'), ('governments', 'NNS'), ('alone', 'RB'), ('can', 'MD'), ('not', 'RB'), ('solve', 'VB'), ('global', 'JJ'), ('warming', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('affects', 'VBZ'), ('us', 'PRP')]"
171,new amp documentary climate change beforetheflood youtube,7.93218E+17,57,Positive,new amp documentary climate change beforetheflood youtube,"[('new', 'JJ'), ('amp', 'NN'), ('documentary', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('beforetheflood', 'NN'), ('youtube', 'NN')]"
172,think global warming niggas stopped drivin moms car day amp got jobs less smoke th,7.93218E+17,82,Neutral,think global warming niggas stopped drivin moms car day amp got jobs less smoke th,"[('think', 'VB'), ('global', 'JJ'), ('warming', 'VBG'), ('niggas', 'NN'), ('stopped', 'VBD'), ('drivin', 'VB'), ('moms', 'NNS'), ('car', 'NN'), ('day', 'NN'), ('amp', 'VBD'), ('got', 'VBD'), ('jobs', 'NNS'), ('less', 'RBR'), ('smoke', 'RB'), ('th', 'VB')]"
173,canada ready climate change university waterloo report,7.9322E+17,54,News,canada ready climate change university waterloo report,"[('canada', 'NNS'), ('ready', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('university', 'NN'), ('waterloo', 'VBP'), ('report', 'NN')]"
174,watch beforetheflood right travels world tackle climate change htt,7.93221E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
175,everyone tweets halloween tweeted genuinely terrifying things like climate change amp overfishing,7.93221E+17,97,Positive,everyone tweets halloween tweeted genuinely terrifying things like climate change amp overfishing,"[('everyone', 'NN'), ('tweets', 'NNS'), ('halloween', 'VBP'), ('tweeted', 'VBN'), ('genuinely', 'RB'), ('terrifying', 'VBG'), ('things', 'NNS'), ('like', 'IN'), ('climate', 'NN'), ('change', 'NN'), ('amp', 'IN'), ('overfishing', 'VBG')]"
176,damn wish global warming good kid coulda trick treated 70 degree weather,7.93222E+17,72,Neutral,damn wish global warming good kid coulda trick treated 70 degree weather,"[('damn', 'NN'), ('wish', 'JJ'), ('global', 'JJ'), ('warming', 'NN'), ('good', 'JJ'), ('kid', 'NN'), ('coulda', 'NN'), ('trick', 'NN'), ('treated', 'VBD'), ('70', 'CD'), ('degree', 'NN'), ('weather', 'NN')]"
177,right highlight vital importance upland peat climate change depressingly dismi,7.93222E+17,78,Positive,right highlight vital importance upland peat climate change depressingly dismi,"[('right', 'RB'), ('highlight', 'NN'), ('vital', 'JJ'), ('importance', 'NN'), ('upland', 'NN'), ('peat', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('depressingly', 'RB'), ('dismi', 'VB')]"
178,worst thing global warming allows people wear flip flops public later year,7.93222E+17,74,Neutral,worst thing global warming allows people wear flip flops public later year,"[('worst', 'JJ'), ('thing', 'NN'), ('global', 'JJ'), ('warming', 'NN'), ('allows', 'VBZ'), ('people', 'NNS'), ('wear', 'VBP'), ('flip', 'JJ'), ('flops', 'NNS'), ('public', 'JJ'), ('later', 'RB'), ('year', 'NN')]"
179,270 minutes debate time zero questions climate change education policy isis emails nafta,7.93223E+17,88,Positive,270 minutes debate time zero questions climate change education policy isis emails nafta,"[('270', 'CD'), ('minutes', 'NNS'), ('debate', 'JJ'), ('time', 'NN'), ('zero', 'CD'), ('questions', 'NNS'), ('climate', 'VBP'), ('change', 'JJ'), ('education', 'NN'), ('policy', 'NN'), ('isis', 'NN'), ('emails', 'VBZ'), ('nafta', 'NNS')]"
180,one easiest ways help combat climate change daily life stop eating beef,7.93223E+17,71,Positive,one easiest ways help combat climate change daily life stop eating beef,"[('one', 'CD'), ('easiest', 'JJS'), ('ways', 'NNS'), ('help', 'VBP'), ('combat', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('daily', 'JJ'), ('life', 'NN'), ('stop', 'NN'), ('eating', 'NN'), ('beef', 'NN')]"
181,watch beforetheflood right travels world tackle climate change htt,7.93224E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
182,company directors face penalties ignoring climate change auspol politicians,7.93224E+17,75,Positive,company directors face penalties ignoring climate change auspol politicians,"[('company', 'NN'), ('directors', 'NNS'), ('face', 'VBP'), ('penalties', 'NNS'), ('ignoring', 'VBG'), ('climate', 'NN'), ('change', 'NN'), ('auspol', 'NN'), ('politicians', 'NNS')]"
183,illy coffee must adapt climate change requires industry wide coordination,7.93224E+17,73,Positive,illy coffee must adapt climate change requires industry wide coordination,"[('illy', 'RB'), ('coffee', 'NN'), ('must', 'MD'), ('adapt', 'VB'), ('climate', 'NN'), ('change', 'NN'), ('requires', 'VBZ'), ('industry', 'NN'), ('wide', 'JJ'), ('coordination', 'NN')]"
184,watch beforetheflood right travels world tackle climate change htt,7.93225E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
185,watch beforetheflood right travels world tackle climate change htt,7.93225E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
186,harrowing read relentless pursuit csg australia australia tackling climate change,7.93226E+17,81,Positive,harrowing read relentless pursuit csg australia australia tackling climate change,"[('harrowing', 'VBG'), ('read', 'JJ'), ('relentless', 'NN'), ('pursuit', 'NN'), ('csg', 'NN'), ('australia', 'IN'), ('australia', 'JJ'), ('tackling', 'VBG'), ('climate', 'NN'), ('change', 'NN')]"
187,global warming continues current pace change mediterranean regi tattoos funny diy,7.93226E+17,81,Positive,global warming continues current pace change mediterranean regi tattoos funny diy,"[('global', 'JJ'), ('warming', 'NN'), ('continues', 'VBZ'), ('current', 'JJ'), ('pace', 'NN'), ('change', 'NN'), ('mediterranean', 'JJ'), ('regi', 'NN'), ('tattoos', 'NN'), ('funny', 'JJ'), ('diy', 'NN')]"
188,lake response climate change water clarity may imp air temp new l amp letters org,7.93226E+17,81,Positive,lake response climate change water clarity may imp air temp new l amp letters org,"[('lake', 'NN'), ('response', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('water', 'NN'), ('clarity', 'NN'), ('may', 'MD'), ('imp', 'VB'), ('air', 'NN'), ('temp', 'IN'), ('new', 'JJ'), ('l', 'NN'), ('amp', 'NN'), ('letters', 'NNS'), ('org', 'VBP')]"
189,wildlife saving forests crucial fighting climate change wwf josefina bra varela blogs beforetheflood,7.93226E+17,100,Positive,wildlife saving forests crucial fighting climate change wwf josefina bra varela blogs beforetheflood,"[('wildlife', 'NN'), ('saving', 'VBG'), ('forests', 'NNS'), ('crucial', 'JJ'), ('fighting', 'VBG'), ('climate', 'NN'), ('change', 'NN'), ('wwf', 'VBD'), ('josefina', 'NN'), ('bra', 'NN'), ('varela', 'NN'), ('blogs', 'NNS'), ('beforetheflood', 'NN')]"
190,president needs realize reality climate change amongst things ivoted,7.93227E+17,68,Positive,president needs realize reality climate change amongst things ivoted,"[('president', 'NN'), ('needs', 'NNS'), ('realize', 'VBP'), ('reality', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('amongst', 'JJ'), ('things', 'NNS'), ('ivoted', 'VBD')]"
191,watch beforetheflood right travels world tackle climate change htt,7.93227E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
192,stp global climate change put efforts toward selling sizzel ev pv key homes solar solarchat,7.93228E+17,91,Positive,stp global climate change put efforts toward selling sizzel ev pv key homes solar solarchat,"[('stp', 'NN'), ('global', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('put', 'VBD'), ('efforts', 'NNS'), ('toward', 'IN'), ('selling', 'VBG'), ('sizzel', 'JJ'), ('ev', 'NN'), ('pv', 'NN'), ('key', 'JJ'), ('homes', 'NNS'), ('solar', 'JJ'), ('solarchat', 'NNS')]"
193,leo climate change documentary epic amazing,7.93228E+17,43,Positive,leo climate change documentary epic amazing,"[('leo', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('documentary', 'JJ'), ('epic', 'NN'), ('amazing', 'NN')]"
194,canada ready catastrophic effects climate change report warns report graded province,7.93229E+17,84,News,canada ready catastrophic effects climate change report warns report graded province,"[('canada', 'NNS'), ('ready', 'JJ'), ('catastrophic', 'JJ'), ('effects', 'NNS'), ('climate', 'VBP'), ('change', 'NN'), ('report', 'NN'), ('warns', 'VBZ'), ('report', 'NN'), ('graded', 'VBD'), ('province', 'NN')]"
195,need know leonardo dicaprio climate change film,7.93229E+17,47,Neutral,need know leonardo dicaprio climate change film,"[('need', 'NN'), ('know', 'VBP'), ('leonardo', 'VBZ'), ('dicaprio', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('film', 'NN')]"
196,company directors face penalties ignoring climate change auspol politicians,7.93229E+17,75,Positive,company directors face penalties ignoring climate change auspol politicians,"[('company', 'NN'), ('directors', 'NNS'), ('face', 'VBP'), ('penalties', 'NNS'), ('ignoring', 'VBG'), ('climate', 'NN'), ('change', 'NN'), ('auspol', 'NN'), ('politicians', 'NNS')]"
197,watch beforetheflood right travels world tackle climate change htt,7.9323E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"